Aimag,Year,Mort_hor,Mort_cat,Mort_cam,Mort_sheep,Mort_goat,All_SFU,All
Orkhon,2024,0.03773584905660378,0.05,0.0,0.04264705882352941,0.05914972273567468,0.04584890404073516,0.037906526123161574
Selenge,1992,0.0469208211143695,0.0655241935483871,0.0,0.04853205512282804,0.02140672782874617,0.05592217781967746,0.03647675952286616
Selenge,1993,0.06017191977077364,0.1407867494824017,0.0,0.09317963496637849,0.05026455026455027,0.108481548492814,0.06888057089682081
Selenge,1994,0.03191489361702127,0.0372960372960373,0.0,0.04931034482758621,0.02331002331002331,0.03862432429993413,0.028366259810133614
Selenge,1995,0.03626943005181347,0.05698924731182795,0.0,0.05670272041953458,0.03361344537815126,0.051079227500315565,0.03671496863226545
Selenge,1996,0.03398058252427184,0.0389344262295082,0.0,0.05083022704168078,0.0254957507082153,0.03988202310920966,0.029848197300735225
Selenge,1997,0.0269607843137255,0.04791029561671764,0.0,0.04569420035149385,0.01447527141133896,0.0404594798066882,0.02700811033865519
Selenge,1998,0.01932367149758454,0.02180685358255452,0.0,0.02181440443213296,0.01044932079414838,0.02040931114557303,0.014678850061284082
Selenge,1999,0.02494331065759637,0.03768115942028986,0.0,0.02181818181818182,0.01596638655462185,0.02938194289122493,0.020081807690137978
Selenge,2000,0.02591792656587473,0.03284671532846715,0.0,0.02805733455321744,0.01589595375722543,0.028673685383244208,0.02054358604095695
Selenge,2001,0.04357298474945534,0.1133640552995392,0.0,0.0896551724137931,0.06694813027744269,0.08754765104352358,0.06270806854804607
Selenge,2002,0.01882845188284519,0.01964839710444674,0.0,0.01463104325699746,0.01183431952662722,0.017342733266190954,0.012988442354183321
Selenge,2003,0.05672268907563025,0.1689691817215728,0.125,0.103568045468898,0.09897458760588497,0.11798334236853779,0.1106469007743972
Selenge,2004,0.02331002331002331,0.01538461538461539,0.0,0.01051840721262209,0.008754863813229572,0.01521908043647174,0.011593581944098073
Selenge,2005,0.01518987341772152,0.01023391812865497,0.0,0.005126182965299685,0.005568445475638051,0.009481507542108272,0.007223683997462845
Selenge,2006,0.01078167115902965,0.00542740841248304,0.0,0.003602305475504323,0.002932551319648094,0.005709127080320648,0.0045487872733330215
Selenge,2007,0.00510204081632653,0.003525264394829612,0.0,0.001471020888496617,0.001614465611882467,0.0029513629607504283,0.0023425583423070453
Selenge,2008,0.004415011037527595,0.001895734597156398,0.0,0.0008820286659316428,0.001175364362952515,0.001928494767909847,0.0016736277327136302
Selenge,2009,0.007168458781362008,0.007457121551081283,0.0,0.008592910848549944,0.00650216738912971,0.00749303411401461,0.0059441317140245895
Selenge,2010,0.02604166666666666,0.06919060052219321,0.0,0.05832536538724218,0.0787143325680551,0.061377463729755034,0.046454393028831434
Selenge,2011,0.006472491909385114,0.006968641114982578,0.0,0.00555374060764456,0.00581135449262405,0.0062876763273743115,0.0049612456249272605
Selenge,2012,0.006125574272588055,0.004608294930875575,0.0,0.009970775313735601,0.004984828781967924,0.006278341200611368,0.0051378946598334314
Selenge,2013,0.007342143906020559,0.006265664160401003,0.0,0.0040842999509884,0.005375188131584606,0.005773929391934328,0.004613459229798914
Selenge,2014,0.005594405594405594,0.002915451895043732,0.0,0.001762255687279718,0.002239140170174653,0.0030490903547108444,0.0025022506693807398
Selenge,2015,0.006265664160401003,0.009155645981688708,0.0,0.004721705537272857,0.00544464609800363,0.006940618383802683,0.00511753235547324
Selenge,2016,0.00364963503649635,0.00384985563041386,0.0,0.001892560780317368,0.002077706212341575,0.003090224363872221,0.0022939515319138305
Selenge,2017,0.02243589743589744,0.05037895675434686,0.0,0.04604297344187909,0.04078947368421053,0.04224842183438544,0.03192946026326678
Selenge,2018,0.01362683438155136,0.01648351648351648,0.0,0.007436007436007436,0.009067096514205118,0.012777171879347677,0.009322690963056079
Selenge,2019,0.006147540983606557,0.007380073800738007,0.0,0.003541578127213486,0.003851338340073176,0.005728265031948529,0.004184106250326246
Selenge,2020,0.005802707930367504,0.005596211795092553,0.0,0.003088492010205451,0.002992021276595745,0.004673775189064775,0.0034958866024522505
Selenge,2021,0.008204193254329991,0.012890625,0.0,0.006382435537401072,0.00687593423019432,0.009546513517906485,0.006870637604385077
Selenge,2022,0.009174311926605505,0.008167613636363634,0.0,0.006355184182652701,0.007244094488188976,0.00785305874614178,0.006188240846762163
Selenge,2023,0.03018575851393189,0.04087102177554439,0.0,0.02962444599953347,0.0414871549385671,0.03623935939104283,0.02843367624551537
Selenge,2024,0.03136136849607983,0.03066271018793274,0.0,0.0404873714938444,0.04895755770662695,0.034877388206894525,0.030293801576896782
Sukhbaatar,1992,0.02618243243243243,0.02363367799113737,0.05755395683453238,0.02097678142514011,0.02715877437325905,0.024959017058642126,0.031101124611300268
Sukhbaatar,1993,0.02729528535980149,0.02770083102493075,0.03937007874015748,0.0237334550433592,0.02201834862385321,0.026520450274155734,0.028023599758420427
Sukhbaatar,1994,0.05602240896358543,0.1130434782608696,0.1139240506329114,0.0980603448275862,0.101123595505618,0.08949473501465649,0.09643477563811412
Sukhbaatar,1995,0.04204892966360856,0.06566604127579737,0.06722689075630252,0.08579225652396384,0.08287013643254168,0.06319588278230841,0.0687208509304428
Sukhbaatar,1996,0.01704966641957005,0.03997539975399754,0.1491228070175439,0.0282030620467365,0.02423954372623574,0.030867628611989516,0.05171809579281674
Sukhbaatar,1997,0.01502145922746781,0.06093649775497113,0.02678571428571429,0.03442065239143486,0.04652155356380708,0.03738384000417821,0.036737175444679034
Sukhbaatar,1998,0.009038089089735312,0.01134328358208955,0.01694915254237288,0.04324223137401722,0.02983383685800604,0.01794359118329784,0.022081318689244202
Sukhbaatar,1999,0.01062573789846517,0.01136363636363636,0.02479338842975207,0.01354029062087186,0.0129582806573957,0.01189045620651618,0.014656266794024231
Sukhbaatar,2000,0.01433882103027084,0.02413629910080454,0.0,0.02565961148158887,0.03240607972469171,0.02118547766584612,0.01930816226747119
Sukhbaatar,2001,0.08740894901144641,0.3840648854961832,0.05737704918032787,0.1169664017844696,0.136804209360288,0.19762619762619762,0.15652429896654302
Sukhbaatar,2002,0.008747949699289229,0.01305293691080493,0.01652892561983471,0.01370056497175141,0.01391035548686244,0.011644417438104156,0.013188146537708546
Sukhbaatar,2003,0.0333686440677966,0.03774928774928775,0.008064516129032258,0.01884669479606188,0.01769147788565264,0.02897306322018991,0.023144124125566223
Sukhbaatar,2004,0.03081664098613251,0.07204230006609386,0.01550387596899225,0.03363321799307958,0.03787878787878787,0.04264016384655748,0.03797496457861722
Sukhbaatar,2005,0.04150943396226415,0.09104046242774566,0.02380952380952381,0.05973952434881088,0.06590951405697262,0.060638319893307785,0.05640169172106342
Sukhbaatar,2006,0.009566685424873383,0.01436552274541101,0.00847457627118644,0.01494252873563218,0.0204958032402889,0.013403824059630674,0.013569023283478383
Sukhbaatar,2007,0.01758366420873511,0.02799377916018663,0.008849557522123894,0.01904635055940331,0.01463328631875882,0.019729319869534346,0.017621327553841555
Sukhbaatar,2008,0.2379518072289157,0.2656500802568219,0.1018518518518519,0.20340074713384,0.2475059382422803,0.23552331292979675,0.21127208494274194
Sukhbaatar,2009,0.01346801346801347,0.02249488752556237,0.01041666666666667,0.01404992497612877,0.01474622770919067,0.01576138424155221,0.015035144069112388
Sukhbaatar,2010,0.01368821292775665,0.06085376930063579,0.009900990099009901,0.03162703525828745,0.03697208826538068,0.033235843246258674,0.03060841917021409
Sukhbaatar,2011,0.01147873058744092,0.0328125,0.009174311926605505,0.0239284228048273,0.03498701653683203,0.024041874944307588,0.022476196371141153
Sukhbaatar,2012,0.004851425106124924,0.00804681784930505,0.009345794392523366,0.008870967741935484,0.01299536798764797,0.008224267908417307,0.00882207461550736
Sukhbaatar,2013,0.005446623093681918,0.01058901389808074,0.01020408163265306,0.01017601760176018,0.01443274577073228,0.009573914382130648,0.010169696399381634
Sukhbaatar,2014,0.001969473165928114,0.01686046511627907,0.0,0.002959066250205491,0.004378087112707678,0.006046690815052296,0.005233418329024071
Sukhbaatar,2015,0.005622837370242215,0.005104645227156712,0.01162790697674419,0.004417728852838934,0.006688629330138764,0.005416936080935628,0.0066923495514241635
Sukhbaatar,2016,0.03312788906009245,0.07086247086247086,0.01204819277108434,0.04610398200820215,0.08559479553903346,0.0541228958922128,0.049547466048176655
Sukhbaatar,2017,0.001820167455405897,0.0210224558050645,0.0,0.003112436778627934,0.003311922922521076,0.006658818205601397,0.005853396592323881
Sukhbaatar,2018,0.01299112801013941,0.0304054054054054,0.0,0.01674654327108467,0.02967719541825755,0.0203986535785014,0.017964054420977406
Sukhbaatar,2019,0.01894286587228842,0.005564387917329093,0.0,0.01139378804432652,0.01407867494824017,0.012991657604133976,0.00999594335643684
Sukhbaatar,2020,0.007145076110593352,0.01415270018621974,0.0,0.01187094155844156,0.01571268237934905,0.011423818819433926,0.00977628004692074
Sukhbaatar,2021,0.006344410876132931,0.01637593449626202,0.0,0.008526004313155124,0.01538822059053273,0.010718738520109985,0.009326914055216561
Sukhbaatar,2022,0.004662643993417443,0.005515898767034393,0.0,0.002799449288664525,0.004689593568557391,0.004326797786396455,0.0035335171235347505
Sukhbaatar,2023,0.06757763975155279,0.08894090111176126,0.0125,0.1130705394190871,0.1673637344846195,0.10044426671721106,0.08989056295340413
Sukhbaatar,2024,0.1992901992901993,0.4474464579901153,0.03947368421052631,0.5282150282150282,0.4723298046303468,0.38567447499736274,0.33735103486724316
Tuv,1992,0.03661436043747028,0.04854854854854854,0.08695652173913043,0.03541490063106339,0.02231121281464531,0.03980460806947268,0.04596910883417159
Tuv,1993,0.04138266796494645,0.09398686205154119,0.05357142857142858,0.05254440047851293,0.02806652806652807,0.05994285801904392,0.05391037742659145
Tuv,1994,0.03039073806078147,0.06401291016675632,0.0625,0.05504496491748197,0.04085510688836105,0.04758627055395123,0.050560744006676164
Tuv,1995,0.01999091322126307,0.02779234399580493,0.02380952380952381,0.03205780582129045,0.01549720189410245,0.025102820475321804,0.02382955774839694
Tuv,1996,0.016579053780833,0.02098880597014925,0.0,0.02071300537741486,0.01148260722728808,0.018460724553274133,0.013952694471137037
Tuv,1997,0.01261467889908257,0.02801358234295416,0.0,0.01617171420170538,0.0103956107421311,0.01793043149178841,0.013439117237174641
Tuv,1998,0.00856225472707813,0.01285656890317397,0.02439024390243903,0.01150895140664962,0.008327385201046872,0.010557539093203368,0.013129080828077525
Tuv,1999,0.0370003303600925,0.1111954459203036,0.02439024390243903,0.05074194098584343,0.03995157384987894,0.06218720968563637,0.0526559070037115
Tuv,2000,0.1047430830039526,0.1795190713101161,0.04761904761904762,0.0755680367628287,0.08279352226720647,0.11682300358711706,0.0980485521926303
Tuv,2001,0.2444889779559118,0.3718783930510315,0.1388888888888889,0.2021431166000726,0.1809346567411083,0.25914973196493984,0.22766680664740263
Tuv,2002,0.02490918526206539,0.03080766028309742,0.0,0.02705119606528057,0.02555143044332824,0.026699422834745527,0.021663894410754322
Tuv,2003,0.1496232508073197,0.2159194876486734,0.03703703703703703,0.1111799702528508,0.1386299148763681,0.15150461381785665,0.1304779321244498
Tuv,2004,0.02360774818401937,0.04153005464480874,0.0,0.0217991169977925,0.02196908055329536,0.026205625095299487,0.021781200075983193
Tuv,2005,0.01300236406619385,0.015005359056806,0.0,0.009398496240601505,0.01070901033973412,0.012053111322295248,0.009623045940667095
Tuv,2006,0.01114827201783723,0.0120259019426457,0.0,0.007479256748860582,0.008032761064734604,0.009809993089025913,0.0077372383548156235
Tuv,2007,0.00808489135927236,0.009916094584286805,0.0,0.005860876249039201,0.005491076999875204,0.0073674629915550524,0.005870587838494714
Tuv,2008,0.04418604651162791,0.04770992366412214,0.0,0.03297846794204755,0.03519441674975075,0.04000910924588458,0.03201377097350967
Tuv,2009,0.01128349788434415,0.01456876456876457,0.0,0.008414953786729204,0.01080154307758251,0.011001659990258742,0.009013751863484087
Tuv,2010,0.1325611325611326,0.1395468589083419,0.07692307692307693,0.1564887722368037,0.1776649746192893,0.15042075797707058,0.1366369630497289
Tuv,2011,0.007507507507507507,0.01104651162790698,0.0,0.007507175977036873,0.009305654974946313,0.00860822022002346,0.007073370017479534
Tuv,2012,0.007623318385650224,0.01135135135135135,0.0,0.006496614921698694,0.008081550188263386,0.00817502988605272,0.006710566969392731
Tuv,2013,0.009323064450749898,0.0135593220338983,0.0,0.01132398849237926,0.01592522070278691,0.012025211184366516,0.010026319135962873
Tuv,2014,0.006346967559943582,0.00835421888053467,0.0,0.004956220056170494,0.006822057987492894,0.006472542800396906,0.005295892896828328
Tuv,2015,0.00906344410876133,0.01624049758120249,0.0,0.01364256480218281,0.01717277486910995,0.013409329333074966,0.011223856272251314
Tuv,2016,0.0241130820399113,0.04144258146156279,0.0,0.02179464600211342,0.03336871434257662,0.029045720321961524,0.024143804769232825
Tuv,2017,0.01646628332462101,0.0266707541385653,0.0,0.01342941369145103,0.01579320569844646,0.017801264166520427,0.014471931370616762
Tuv,2018,0.0718849840255591,0.0785070785070785,0.0,0.03644711714274106,0.05240516229956981,0.05955194184868878,0.047848868394989696
Tuv,2019,0.01259519625073228,0.01275239107332625,0.0,0.01392234515984159,0.01733067729083666,0.013824027928862354,0.011320121954947356
Tuv,2020,0.01830910070005385,0.02166985340981517,0.0,0.02187189861821513,0.02675845555222987,0.021559976112757062,0.017721861656062803
Tuv,2021,0.04058129969838224,0.04687985097795715,0.05555555555555556,0.03668858008896587,0.04653549010140029,0.04192072099094075,0.04524815528445222
Tuv,2022,0.008408071748878924,0.011875,0.0,0.007690790771051075,0.01013005685902882,0.009252948666197932,0.007620783875791763
Tuv,2023,0.02733199598796389,0.0481651376146789,0.0,0.03516169245435213,0.04580340148584761,0.03738775922960155,0.03129244550856851
Tuv,2024,0.09172154280338664,0.09070422535211269,0.02439024390243903,0.1921898058803496,0.1752324037184595,0.1328339726027397,0.11484764433134949
Umnugovi,1992,0.04153354632587859,0.052,0.04231433506044906,0.03440134907251265,0.03573931324456903,0.04027604259622821,0.04119770874068186
Umnugovi,1993,0.09015025041736228,0.1506276150627615,0.06758080313418219,0.05753138075313807,0.03978469459396208,0.0720521389224852,0.08113494879228123
Umnugovi,1994,0.01025641025641026,0.01895734597156398,0.01971522453450164,0.01362984218077475,0.01395247438412906,0.014938577272700284,0.015302259465475938
Umnugovi,1995,0.0103397341211226,0.008264462809917356,0.01528384279475982,0.01388888888888889,0.01088139281828074,0.012108594978119556,0.01173166428659388
Umnugovi,1996,0.01017811704834606,0.02380952380952381,0.004305705059203444,0.01641747288185283,0.01299879081015719,0.011815908706360099,0.013541921921816667
Umnugovi,1997,0.007891770011273957,0.009174311926605503,0.01399354144241119,0.01444141689373297,0.009060175794455713,0.010600004321241061,0.010912243213695865
Umnugovi,1998,0.009861932938856016,0.02380952380952381,0.01789473684210526,0.02175525339925834,0.02265148901920202,0.018250520426499616,0.019194587201789088
Umnugovi,1999,0.03169014084507042,0.08173076923076923,0.02149437052200614,0.0351123595505618,0.03377720038973692,0.03552508569647865,0.0407609681076289
Umnugovi,2000,0.138655462184874,0.3156565656565656,0.003036437246963563,0.09166666666666667,0.07206611570247934,0.10319429451218433,0.12421624949150982
Umnugovi,2001,0.251008064516129,0.319327731092437,0.08728448275862069,0.1357689459392742,0.1084378957062277,0.16083564765506622,0.18036542400253772
Umnugovi,2002,0.2943854324734446,0.3801652892561983,0.0959902794653706,0.176056338028169,0.1904180238870793,0.19999271182558354,0.22740307262205234
Umnugovi,2003,0.1800947867298578,0.2173913043478261,0.0625,0.1159420289855072,0.09350463954318344,0.11075962655543578,0.1338865519212749
Umnugovi,2004,0.0108991825613079,0.0,0.01424501424501425,0.01429980276134122,0.01064728747676187,0.011874106903230017,0.010018257408885048
Umnugovi,2005,0.01711491442542787,0.02702702702702703,0.01836158192090396,0.02211621856027754,0.03067740144364242,0.024039752887456352,0.02305942867545576
Umnugovi,2006,0.02570093457943926,0.05813953488372093,0.02256699576868829,0.04220779220779221,0.03598937583001328,0.03281997791140017,0.03692092665393079
Umnugovi,2007,0.007109004739336493,0.01149425287356322,0.00697350069735007,0.01109350237717908,0.008068647540983607,0.00822889201911848,0.008947781645682495
Umnugovi,2008,0.004310344827586207,0.009900990099009901,0.005305039787798408,0.008431703204047217,0.005454919720049403,0.005829290243826744,0.006680599527698228
Umnugovi,2009,0.01509433962264151,0.03225806451612903,0.006188118811881188,0.02050113895216401,0.0184421052631579,0.016484896556282637,0.018496753433194728
Umnugovi,2010,0.2420856610800745,0.4045801526717557,0.08168028004667445,0.3617247804099015,0.3729117431342189,0.2985667071503837,0.292596523468525
Umnugovi,2011,0.007978723404255319,0.01333333333333333,0.005966587112171838,0.01033834586466165,0.009422674244690397,0.008477434586895326,0.009407932791822508
Umnugovi,2012,0.004608294930875576,0.01149425287356322,0.003416856492027335,0.008547008547008548,0.007384093935358915,0.0062308938743464255,0.007090101355766719
Umnugovi,2013,0.003992015968063873,0.009259259259259259,0.004110996916752313,0.008338892595063376,0.006969728492666182,0.006062013478666841,0.006534178646360999
Umnugovi,2014,0.006872852233676976,0.007462686567164179,0.00387972841901067,0.006841505131128848,0.007004788082993439,0.0062934760586209225,0.006412312086794822
Umnugovi,2015,0.00904977375565611,0.006211180124223602,0.004436557231588287,0.006790744466800805,0.01074584096155377,0.008350707076800114,0.007446819307964514
Umnugovi,2016,0.002695417789757413,0.005347593582887701,0.001686340640809444,0.005145413870246085,0.0051524259338772,0.004021493482995705,0.004005438363515568
Umnugovi,2017,0.002344665885111372,0.004524886877828054,0.001532567049808429,0.004799385678633136,0.005337277345508328,0.0039271018472820645,0.003707756567377864
Umnugovi,2018,0.01925025329280648,0.04074074074074074,0.003541076487252125,0.01547231270358306,0.02757259656047364,0.020140353670022947,0.021315395956971208
