Aimag,Year,Season,Seasonal_Temp_C
Bayan-Ulgii,1990,SON,-4.139376199656497
Bayan-Ulgii,1991,DJF,-21.95540016145083
Bayan-Ulgii,1991,JJA,9.9396314131346
Bayan-Ulgii,1991,MAM,-5.801044005178378
Bayan-Ulgii,1991,SON,-4.874484089233844
Bayan-Ulgii,1992,DJF,-20.851567960424877
Bayan-Ulgii,1992,JJA,8.983494410021574
Bayan-Ulgii,1992,MAM,-5.315358737053977
Bayan-Ulgii,1992,SON,-7.889892718435681
Bayan-Ulgii,1993,DJF,-21.100043601551253
Bayan-Ulgii,1993,JJA,8.489518416247627
Bayan-Ulgii,1993,MAM,-6.91969026879787
Bayan-Ulgii,1993,SON,-7.644974655209808
Bayan-Ulgii,1994,DJF,-22.776932136857166
Bayan-Ulgii,1994,JJA,9.107429919480387
Bayan-Ulgii,1994,MAM,-4.971655858065411
Bayan-Ulgii,1994,SON,-5.334161774500098
Bayan-Ulgii,1995,DJF,-20.768896075135423
Bayan-Ulgii,1995,JJA,9.439339566870233
Bayan-Ulgii,1995,MAM,-5.38009926514605
Bayan-Ulgii,1995,SON,-4.256538969894913
Bayan-Ulgii,1996,DJF,-22.864841060711484
Bayan-Ulgii,1996,JJA,9.279613603029237
Bayan-Ulgii,1996,MAM,-7.392758038400212
Bayan-Ulgii,1996,SON,-7.222107541606778
Bayan-Ulgii,1997,DJF,-21.150164748151617
Bayan-Ulgii,1997,JJA,9.2371958063937
Bayan-Ulgii,1997,MAM,-1.143004108297391
Bayan-Ulgii,1997,SON,-4.8638423992756
Bayan-Ulgii,1998,DJF,-22.008382184843427
Bayan-Ulgii,1998,JJA,11.272310898587188
Bayan-Ulgii,1998,MAM,-5.902399780741118
Bayan-Ulgii,1998,SON,-4.512515972035119
Bayan-Ulgii,1999,DJF,-21.022725095785418
Bayan-Ulgii,1999,JJA,10.713815366080004
Bayan-Ulgii,1999,MAM,-6.374321971907904
Bayan-Ulgii,1999,SON,-6.264833787939992
Bayan-Ulgii,2000,DJF,-21.844079344299995
Bayan-Ulgii,2000,JJA,10.700262287476075
Bayan-Ulgii,2000,MAM,-3.1506566540948047
Bayan-Ulgii,2000,SON,-9.159644490092171
Bayan-Ulgii,2001,DJF,-22.725589585578284
Bayan-Ulgii,2001,JJA,11.075631772330004
Bayan-Ulgii,2001,MAM,-4.352786383500936
Bayan-Ulgii,2001,SON,-4.7746307489972235
Bayan-Ulgii,2002,DJF,-21.72046631560926
Bayan-Ulgii,2002,JJA,11.730937948994276
Bayan-Ulgii,2002,MAM,-5.434013185464537
Bayan-Ulgii,2002,SON,-5.267119566234113
Bayan-Ulgii,2003,DJF,-22.110187597749768
Bayan-Ulgii,2003,JJA,9.635681012033068
Bayan-Ulgii,2003,MAM,-6.371258872313495
Bayan-Ulgii,2003,SON,-6.9454234857668595
Bayan-Ulgii,2004,DJF,-21.889270323537755
Bayan-Ulgii,2004,JJA,10.436644665948299
Bayan-Ulgii,2004,MAM,-4.091491021050325
Bayan-Ulgii,2004,SON,-6.524505930933437
Bayan-Ulgii,2005,DJF,-25.413041938401708
Bayan-Ulgii,2005,JJA,10.47584467043824
Bayan-Ulgii,2005,MAM,-4.096921396072775
Bayan-Ulgii,2005,SON,-5.5436657668073295
Bayan-Ulgii,2006,DJF,-23.50522203701207
Bayan-Ulgii,2006,JJA,10.135204891044083
Bayan-Ulgii,2006,MAM,-5.837283921515782
Bayan-Ulgii,2006,SON,-4.730484441413711
Bayan-Ulgii,2007,DJF,-19.538864919143595
Bayan-Ulgii,2007,JJA,11.111037775383164
Bayan-Ulgii,2007,MAM,-3.7862330411128844
Bayan-Ulgii,2007,SON,-5.52292328465485
Bayan-Ulgii,2008,DJF,-24.154446387747672
Bayan-Ulgii,2008,JJA,11.017596458932015
Bayan-Ulgii,2008,MAM,-3.613660463062717
Bayan-Ulgii,2008,SON,-5.448948499891471
Bayan-Ulgii,2009,DJF,-22.90443516289135
Bayan-Ulgii,2009,JJA,9.324680465756728
Bayan-Ulgii,2009,MAM,-3.0990987843480378
Bayan-Ulgii,2009,SON,-6.448126980719416
Bayan-Ulgii,2010,DJF,-25.06749642909256
Bayan-Ulgii,2010,JJA,10.809892652957398
Bayan-Ulgii,2010,MAM,-8.800885454082833
Bayan-Ulgii,2010,SON,-4.309485915611508
Bayan-Ulgii,2011,DJF,-24.16361311989267
Bayan-Ulgii,2011,JJA,10.776670819863527
Bayan-Ulgii,2011,MAM,-4.4321036737083706
Bayan-Ulgii,2011,SON,-5.163956121101211
Bayan-Ulgii,2012,DJF,-24.483768004201817
Bayan-Ulgii,2012,JJA,10.91332876855845
Bayan-Ulgii,2012,MAM,-3.856630896791165
Bayan-Ulgii,2012,SON,-6.581133635656108
Bayan-Ulgii,2013,DJF,-23.47449492823573
Bayan-Ulgii,2013,JJA,9.534285949473203
Bayan-Ulgii,2013,MAM,-2.6325921186541916
Bayan-Ulgii,2013,SON,-5.420930089256293
Bayan-Ulgii,2014,DJF,-23.040538007363484
Bayan-Ulgii,2014,JJA,10.158396379609696
Bayan-Ulgii,2014,MAM,-4.47581548581176
Bayan-Ulgii,2014,SON,-6.59699616998546
Bayan-Ulgii,2015,DJF,-22.093840933028744
Bayan-Ulgii,2015,JJA,11.3534787700551
Bayan-Ulgii,2015,MAM,-4.0620822482638665
Bayan-Ulgii,2015,SON,-7.362461625022427
Bayan-Ulgii,2016,DJF,-22.1074859736066
Bayan-Ulgii,2016,JJA,10.974126332016306
Bayan-Ulgii,2016,MAM,-4.139969655471721
Bayan-Ulgii,2016,SON,-7.317598680518117
Bayan-Ulgii,2017,DJF,-20.414795822201995
Bayan-Ulgii,2017,JJA,11.490851367935846
Bayan-Ulgii,2017,MAM,-3.151363820043081
Bayan-Ulgii,2017,SON,-7.203979281721422
Bayan-Ulgii,2018,DJF,-23.17924022455323
Bayan-Ulgii,2018,JJA,11.07606018767962
Bayan-Ulgii,2018,MAM,-3.3696105723179848
Bayan-Ulgii,2018,SON,-6.418155386621446
Bayan-Ulgii,2019,DJF,-24.432694557160687
Bayan-Ulgii,2019,JJA,10.467873151640347
Bayan-Ulgii,2019,MAM,-3.2639313562619505
Bayan-Ulgii,2019,SON,-5.1300009891904415
Bayan-Ulgii,2020,DJF,-20.552037755739622
Bayan-Ulgii,2020,JJA,9.527125426544563
Bayan-Ulgii,2020,MAM,-0.7677234868893451
Bayan-Ulgii,2020,SON,-7.273108202470194
Bayan-Ulgii,2021,DJF,-21.841989942528713
