Aimag,Year,Season,Seasonal_SPEI3
Bayan-Ulgii,1972,SON,0.5919499180637469
Bayan-Ulgii,1973,DJF,0.8235646042582113
Bayan-Ulgii,1973,JJA,0.8429417409722382
Bayan-Ulgii,1973,MAM,0.3127002996213202
Bayan-Ulgii,1973,SON,0.9826467685481775
Bayan-Ulgii,1974,DJF,-1.325057724433376
Bayan-Ulgii,1974,JJA,-1.3998807271994032
Bayan-Ulgii,1974,MAM,-0.8082629441021836
Bayan-Ulgii,1974,SON,0.20884432946463327
Bayan-Ulgii,1975,DJF,-0.3138442838404611
Bayan-Ulgii,1975,JJA,0.8244040186778308
Bayan-Ulgii,1975,MAM,0.8020491341277304
Bayan-Ulgii,1975,SON,-0.16181589850313266
Bayan-Ulgii,1976,DJF,0.07360515541320362
Bayan-Ulgii,1976,JJA,1.2845928498694092
Bayan-Ulgii,1976,MAM,1.2243601506852493
Bayan-Ulgii,1976,SON,1.5298824887845708
Bayan-Ulgii,1977,DJF,0.30136215780319175
Bayan-Ulgii,1977,JJA,-0.051348380609987185
Bayan-Ulgii,1977,MAM,0.33707298349502995
Bayan-Ulgii,1977,SON,-0.3710637175005499
Bayan-Ulgii,1978,DJF,-0.3659683413866741
Bayan-Ulgii,1978,JJA,0.21987602304625478
Bayan-Ulgii,1978,MAM,-0.25806262088208143
Bayan-Ulgii,1978,SON,-0.4437167874022867
Bayan-Ulgii,1979,DJF,0.9511147342827979
Bayan-Ulgii,1979,JJA,0.9292300199911893
Bayan-Ulgii,1979,MAM,0.9178357098460336
Bayan-Ulgii,1979,SON,0.9698875687892476
Bayan-Ulgii,1980,DJF,-0.13122165303681563
Bayan-Ulgii,1980,JJA,0.1525290454298096
Bayan-Ulgii,1980,MAM,0.5281037774176869
Bayan-Ulgii,1980,SON,-0.5673115084304848
Bayan-Ulgii,1981,DJF,0.37397374562218166
Bayan-Ulgii,1981,JJA,-0.21610031522129627
Bayan-Ulgii,1981,MAM,-0.669900060122859
Bayan-Ulgii,1981,SON,0.8072154935497048
Bayan-Ulgii,1982,DJF,-1.2647779182708239
Bayan-Ulgii,1982,JJA,-0.5806097444353304
Bayan-Ulgii,1982,MAM,-1.1334956897428512
Bayan-Ulgii,1982,SON,-0.1712761975973479
Bayan-Ulgii,1983,DJF,-0.6186108458462503
Bayan-Ulgii,1983,JJA,1.7319541949042794
Bayan-Ulgii,1983,MAM,-0.6413460005237701
Bayan-Ulgii,1983,SON,0.45934959080702886
Bayan-Ulgii,1984,DJF,-0.5664061211414734
Bayan-Ulgii,1984,JJA,2.024139806047124
Bayan-Ulgii,1984,MAM,-0.005443809749303535
Bayan-Ulgii,1984,SON,1.792976353453534
Bayan-Ulgii,1985,DJF,0.5344229593135995
Bayan-Ulgii,1985,JJA,0.19464480582185076
Bayan-Ulgii,1985,MAM,-0.7271024936476321
Bayan-Ulgii,1985,SON,0.3149277219729529
Bayan-Ulgii,1986,DJF,-0.20691678077357178
Bayan-Ulgii,1986,JJA,1.0502591218120876
Bayan-Ulgii,1986,MAM,-0.406880178416009
