Aimag,Year,JJA_Mean_SPEI3
Govisumber,1964,0.902172565637575
Govisumber,1965,-0.08785118526425104
Govisumber,1966,0.2505969181135461
Govisumber,1967,2.092689246591526
Govisumber,1968,-0.284004382649302
Govisumber,1969,0.20123167502343303
Govisumber,1970,0.5173254572045233
Govisumber,1971,2.025503359346865
Govisumber,1972,0.7801112047014791
Govisumber,1973,2.066684095206972
Govisumber,1974,0.5112936050629066
Govisumber,1975,1.4991298901050016
Govisumber,1976,1.959654003046883
Govisumber,1977,2.186728783593494
Govisumber,1978,1.2887191994161629
Govisumber,1979,1.2547535342026834
Govisumber,1980,1.069610090506681
Govisumber,1981,0.9444687943739302
Govisumber,1982,0.8641334691913213
Govisumber,1983,1.2378200269340054
Govisumber,1984,1.388885445397359
Govisumber,1985,1.7616432689533819
Govisumber,1986,1.6544828294307308
Govisumber,1987,1.1405012323893027
Govisumber,1988,1.1419072050743302
Govisumber,1989,0.08775444667226495
Govisumber,1990,1.996558460542895
Govisumber,1991,0.6559919344549006
Govisumber,1992,0.8570482762228209
Govisumber,1993,1.4603238937893221
Govisumber,1994,0.6197723327091669
Govisumber,1995,0.17857867176052894
Govisumber,1996,0.6878586224809353
Govisumber,1997,0.6976548981806889
Govisumber,1998,0.6641071254604516
Govisumber,1999,1.2886286289437214
Govisumber,2000,-0.9011346252003045
Govisumber,2001,-0.7861449232998032
Govisumber,2002,-0.41068921075195275
Govisumber,2003,0.7633352158499422
Govisumber,2004,-0.14110358994681185
Govisumber,2005,-0.5328717292760888
Govisumber,2006,-0.4092656699560695
Govisumber,2007,-1.8092423376874778
Govisumber,2008,-0.4601004455208855
Govisumber,2009,-0.8119927452971553
Govisumber,2010,-0.3674593901868543
Govisumber,2011,1.2802276295335588
Govisumber,2012,0.49533206700415017
Govisumber,2013,-0.0630005408618052
Govisumber,2014,0.6698174752178655
Govisumber,2015,-1.0291291470077486
Govisumber,2016,-0.1184448743241539
Govisumber,2017,-1.6122978440569247
Govisumber,2018,-0.40867136150098626
Govisumber,2019,-0.5252487906747397
Govisumber,2020,-0.37679939988390915
Govisumber,2021,0.21434142800893458
Govisumber,2022,-0.32687199625142455
Govisumber,2023,-0.2840039217979298
Govisumber,2024,0.8183356800103162
Khentii,1950,2.479978639584357
Khentii,1951,0.9384588006257718
Khentii,1952,0.8873431475881077
Khentii,1953,1.173568464548674
Khentii,1954,1.9736066003829515
Khentii,1955,0.9709461436973834
Khentii,1956,0.6216451160924967
Khentii,1957,0.785565805844646
Khentii,1958,1.3332845527190578
Khentii,1959,1.9179765560984867
Khentii,1960,1.1653404155747948
Khentii,1961,-0.325537688706567
Khentii,1962,0.44516801665721367
Khentii,1963,0.6606175498239016
Khentii,1964,0.7861176588573815
Khentii,1965,-0.2167483429403023
Khentii,1966,0.19955284172960724
Khentii,1967,2.1459375576169113
Khentii,1968,0.25339276028738117
Khentii,1969,0.22679716973181005
Khentii,1970,0.42419345630533967
Khentii,1971,1.806163022912043
Khentii,1972,0.25015010929947684
Khentii,1973,1.7921987803087658
Khentii,1974,0.7001207202311885
Khentii,1975,1.8278407555231442
Khentii,1976,1.0904495823899751
Khentii,1977,1.9296918940178285
Khentii,1978,1.2056122466483623
Khentii,1979,0.8237341672913683
Khentii,1980,0.7872231760484338
Khentii,1981,0.5858649819901299
Khentii,1982,0.6736738021372316
Khentii,1983,0.7782231625373335
Khentii,1984,1.6142651140496618
Khentii,1985,1.6695551919483238
Khentii,1986,0.6668490656560584
Khentii,1987,0.550766568871017
Khentii,1988,1.238045775790923
Khentii,1989,0.5461465987195583
Khentii,1990,1.9199164814265324
Khentii,1991,0.8753171297021302
Khentii,1992,0.18534112245988998
Khentii,1993,1.115077205864141
Khentii,1994,0.30834059136030517
Khentii,1995,0.8268139010717361
Khentii,1996,0.777650063771993
Khentii,1997,-0.2528266459782699
Khentii,1998,0.9860139831221378
Khentii,1999,0.2242368724467889
Khentii,2000,-1.1618971533934315
Khentii,2001,-0.5830541085354316
Khentii,2002,0.0997972280207904
Khentii,2003,-0.22630523716071754
Khentii,2004,-0.5038188988950005
Khentii,2005,0.49255438180328964
Khentii,2006,-0.43926264976061935
Khentii,2007,-1.6891756445773456
Khentii,2008,0.38416642555549574
Khentii,2009,-0.12760326038465475
Khentii,2010,-0.3069038212907303
Khentii,2011,0.0297680228803103
Khentii,2012,0.5450820252494983
Khentii,2013,0.3016109656137569
Khentii,2014,1.2838541899696843
Khentii,2015,-1.111343999719802
Khentii,2016,-0.5311592352512375
Khentii,2017,-1.458297631294465
Khentii,2018,-0.18357258769030188
Khentii,2019,0.04457130987030812
Khentii,2020,0.8034816655377374
Khentii,2021,0.8022399680142678
Khentii,2022,0.5035890387940699
Khentii,2023,-0.11121584890665301
Khentii,2024,1.6474474507859331
Khovd,1950,-0.7691883953404774
Khovd,1951,-0.5444632073619201
Khovd,1952,-1.1349441827218227
Khovd,1953,-1.9116195333418535
Khovd,1954,-0.4054903205803862
Khovd,1955,-0.4621521158316902
Khovd,1956,0.0864798952360595
Khovd,1957,-0.8872746722756036
Khovd,1958,0.5994617414287579
Khovd,1959,0.12748218706732645
Khovd,1960,-0.08925741816445715
Khovd,1961,0.7225760659183085
Khovd,1962,-0.6494955765670999
Khovd,1963,0.14863119451852425
Khovd,1964,-0.30747108425456343
Khovd,1965,-1.1263499452437749
Khovd,1966,-0.3084324126069737
Khovd,1967,-0.597766998036986
Khovd,1968,-0.6999757986759081
Khovd,1969,1.2460623434087703
Khovd,1970,0.5208542334526635
Khovd,1971,0.7677127768316289
Khovd,1972,-0.5435869334385104
Khovd,1973,0.29187253091139037
Khovd,1974,-1.2055644491757542
Khovd,1975,0.3663311214256485
Khovd,1976,0.9721054255509839
Khovd,1977,0.09696740795480964
Khovd,1978,0.3138774242790978
Khovd,1979,0.5610150897748932
Khovd,1980,-0.40310317469641854
Khovd,1981,-0.09911521333886326
Khovd,1982,-0.4339421996281578
Khovd,1983,1.0239373432578929
Khovd,1984,1.4048549382723607
Khovd,1985,-0.710259821419958
Khovd,1986,0.7592608228540104
Khovd,1987,1.7846838658488993
Khovd,1988,0.27552400161397794
Khovd,1989,-0.3902487888710916
Khovd,1990,0.1910851721748637
Khovd,1991,0.1420515491179296
Khovd,1992,0.0599840573931326
Khovd,1993,1.5602258979119257
Khovd,1994,1.5550600966592114
Khovd,1995,0.4889803843310142
Khovd,1996,0.44549608419790687
