Aimag,Year,Mort_hor,Mort_cat,Mort_cam,Mort_sheep,Mort_goat,All_SFU,All,SPEI_PrevSummer,SPEI_PrevSummer_point,Temp_Winter,Temp_Winter_Z_study,Temp_Winter_Z_climate
Dundgovi,2002,0.02321428571428572,0.02325581395348837,0.005154639175257733,0.01664233576642336,0.01597386095480124,0.018827957420810646,0.016848187112851284,0.2290296771111969,0.24543118957374563,-13.516811723851424,0.8808472316933927,1.0477637884621989
Dundgovi,2003,0.05555555555555555,0.05198776758409785,0.02030456852791878,0.01385647607934656,0.02950136283469616,0.035265454327468596,0.03424114611632298,-0.09555299287649327,-0.10262686306657853,-14.939461050460565,0.021967383574671245,0.15871279710834363
Dundgovi,2004,0.003600360036003601,0.01897018970189702,0.004901960784313726,0.001795580110497238,0.001983564749220742,0.004088899005007479,0.006250331076386466,1.4528730732506958,1.4576963572059543,-13.914571991725918,0.6407119628889768,0.7991929327630909
Dundgovi,2005,0.01574150787075393,0.01425178147268408,0.004694835680751174,0.01168996188055908,0.01777997283615261,0.014544598902169558,0.012831611948180175,-0.12639287370716645,-0.12972497897796764,-17.39178781082379,-1.458547874882211,-1.3738107114228018
Dundgovi,2006,0.02175732217573222,0.04337899543378995,0.009661835748792272,0.0251311455410516,0.02956142476375091,0.026455868313709604,0.02589814473262339,-0.8475751486416419,-0.8522296031118815,-15.358903298449139,-0.2312576997321559,-0.10340769837506876
Dundgovi,2007,0.01118359739049394,0.007444168734491315,0.0,0.002537192941990543,0.002641552773630412,0.005276919766750664,0.004761302368121242,0.05074701580783762,0.057414232846400626,-11.909129234807386,1.8514350400779067,2.0524468708867154
Dundgovi,2008,0.07258834765998089,0.0892018779342723,0.005050505050505051,0.02149740548554485,0.0254432535310027,0.04083582741522112,0.04275627793226115,-1.2204212798469083,-1.2108930204711361,-15.701345066051555,-0.43799616145054066,-0.317408567931266
Dundgovi,2009,0.01785714285714286,0.02046783625730994,0.005025125628140704,0.01514326179322366,0.01909404834450538,0.017065048910907245,0.01551748297606451,-0.29515539504056076,-0.29925643536120167,-14.186040652450615,0.4768212853121277,0.6295450248601313
Dundgovi,2010,0.2585365853658537,0.3846153846153846,0.05797101449275362,0.3877592934894229,0.448741440833253,0.3690906285989,0.3075247437593336,-1.3912603256972782,-1.3951994724398067,-18.434128065726036,-2.08782806577245,-2.0251965586699443
Dundgovi,2011,0.003898635477582846,0.005376344086021505,0.0,0.003398149896167642,0.00466436828229568,0.0038149334823778668,0.0034674995484135344,-0.715270926022031,-0.7347059704381461,-16.259621493970556,-0.7750380203618966,-0.666290194912305
